Rodage_U,V1_torque,Rodage_I,V2_torque,SnapRingMidPointForce,Premier angle,SnapRingPeakForce,Deuxième angle,Vissage_M8_torque,Capuchon_insertion,StartLinePeakForce,Vissage_M8_angle_log,SnapRingFinalStroke_exp,Binar OP130_Resultat_Global_v
11.97,1,113.64,1,109.62,180.4,190.51,173.1,12.16,0.0,26.37,2.9338568698359038,460468.6250498847,0
11.97,0,109.77,0,105.48,138.7,147.7,163.5,12.19,1.0,21.03,2.917770732084279,498819.7065866096,0
11.97,1,109.79,1,100.03,180.9,150.87,181.2,12.24,0.0,25.81,2.8622008809294686,384615.72579367505,0
11.97,1,113.25,1,104.94,173.5,159.56,151.8,12.35,1.0,24.62,2.747270914255491,369534.7274744691,0
11.97,1,112.88,1,99.19,174.5,172.29,177.5,12.19,0.0,29.22,3.5145260669691587,474491.98242599616,0
11.97,1,112.09,1,97.13,158.7,165.79,178.4,12.15,0.0,25.99,3.104586678466073,392385.4788500711,0
11.97,0,111.25,0,81.56,158.8,153.91,152.5,12.19,1.0,18.79,2.8735646395797834,493856.3675768817,0
11.97,1,117.5,1,95.12,181.0,164.02,175.8,12.14,0.0,24.33,3.58351893845611,344551.8961378237,0
11.97,1,111.75,1,101.57,156.1,159.5,151.8,12.21,0.0,26.07,2.8094026953624978,484077.356302953,0
11.98,1,107.68,1,99.2,159.4,162.99,128.3,12.35,0.0,24.05,2.884800712846709,392385.4788500711,0
11.97,1,115.89,1,97.62,165.9,157.94,164.2,12.19,0.0,23.11,2.8273136219290276,484077.356302953,0
11.97,0,114.4,0,77.85,168.9,150.21,152.0,12.14,1.0,17.88,2.7212954278522306,498819.7065866096,0
11.97,1,120.2,1,101.61,159.1,157.32,160.5,12.35,0.0,24.6,2.5494451709255714,474491.98242599616,0
11.97,1,119.24,1,103.52,154.1,167.31,179.6,12.33,0.0,28.73,2.681021528714291,348014.70026317565,0
11.97,1,107.48,1,99.51,142.9,163.31,161.6,12.24,0.0,27.19,2.6461747973841225,400312.1913298826,0
11.97,0,110.67,0,83.96,159.4,147.9,123.3,12.26,1.0,19.14,2.631888840136646,493856.3675768817,0
11.97,0,109.52,0,103.06,146.7,150.12,162.6,12.26,1.0,23.71,3.0252910757955354,460468.6250498847,0
11.97,1,118.09,1,100.61,157.4,161.95,171.0,12.2,0.0,23.9,2.954910279033736,484077.356302953,0
11.97,1,112.71,1,103.19,173.1,166.42,152.6,12.2,0.0,23.55,3.104586678466073,392385.4788500711,0
11.97,1,112.84,1,97.95,144.6,154.25,157.8,12.11,0.0,22.64,3.261935314328648,479260.7061294755,0
11.97,1,116.6,1,104.55,164.3,150.33,159.6,12.11,1.0,26.26,3.367295829986474,376999.82415587525,0
