,OP070_V_1_angle_value,OP090_SnapRingPeakForce_value,OP070_V_2_angle_value,OP120_Rodage_I_mesure_value,OP090_SnapRingFinalStroke_value,OP110_Vissage_M8_torque_value,OP100_Capuchon_insertion_mesure,OP120_Rodage_U_mesure_value,OP090_StartLinePeakForce_value,OP110_Vissage_M8_angle_value,OP090_SnapRingMidPointForce_val,OP070_V_2_torque_value,Binar OP130_Resultat_Global_v
0,180.4,190.51,173.1,113.64,12.04,12.16,,11.97,26.37,18.8,109.62,6.6,0
1,138.7,147.7,163.5,109.77,12.12,12.19,0.39,11.97,21.03,18.5,105.48,6.4,0
2,180.9,150.87,181.2,109.79,11.86,12.24,,11.97,25.81,17.5,100.03,6.61,0
3,173.5,159.56,151.8,113.25,11.82,12.35,0.39,11.97,24.62,15.6,104.94,6.61,0
4,174.5,172.29,177.5,112.88,12.07,12.19,,11.97,29.22,33.6,99.19,6.61,0
5,158.7,165.79,178.4,112.09,11.88,12.15,,11.97,25.99,22.3,97.13,6.63,0
6,158.8,153.91,152.5,111.25,12.11,12.19,0.38,11.97,18.79,17.7,81.56,6.4,0
7,181.0,164.02,175.8,117.5,11.75,12.14,,11.97,24.33,36.0,95.12,6.62,0
8,156.1,159.5,151.8,111.75,12.09,12.21,,11.97,26.07,16.6,101.57,6.61,0
9,159.4,162.99,128.3,107.68,11.88,12.35,,11.98,24.05,17.9,99.2,6.6,0
10,165.9,157.94,164.2,115.89,12.09,12.19,,11.97,23.11,16.9,97.62,6.6,0
11,168.9,150.21,152.0,114.4,12.12,12.14,0.4,11.97,17.88,15.2,77.85,6.44,0
12,159.1,157.32,160.5,120.2,12.07,12.35,,11.97,24.6,12.8,101.61,6.62,0
13,154.1,167.31,179.6,119.24,11.76,12.33,,11.97,28.73,14.6,103.52,6.6,0
14,142.9,163.31,161.6,107.48,11.9,12.24,,11.97,27.19,14.1,99.51,6.61,0
15,159.4,147.9,123.3,110.67,12.11,12.26,0.38,11.97,19.14,13.9,83.96,6.41,0
16,146.7,150.12,162.6,109.52,12.04,12.26,0.41,11.97,23.71,20.6,103.06,6.42,0
17,157.4,161.95,171.0,118.09,12.09,12.2,,11.97,23.9,19.2,100.61,6.63,0
18,173.1,166.42,152.6,112.71,11.88,12.2,,11.97,23.55,22.3,103.19,6.61,0
19,144.6,154.25,157.8,112.84,12.08,12.11,,11.97,22.64,26.1,97.95,6.61,0
20,164.3,150.33,159.6,116.6,11.84,12.11,0.41,11.97,26.26,29.0,104.55,6.6,0
21,165.5,171.53,151.1,115.1,12.07,12.28,,11.97,23.14,13.6,98.63,6.61,0
22,171.5,137.05,197.4,111.91,11.72,12.16,,11.97,23.16,21.9,97.39,6.48,0
23,155.0,162.56,134.0,110.49,11.81,12.26,0.35,11.97,26.53,15.0,98.6,6.63,0
24,127.9,153.98,160.7,111.89,12.11,12.22,,11.97,23.12,15.5,98.16,6.61,0
25,168.3,160.81,154.3,108.75,11.81,12.3,0.36,11.97,27.05,14.9,109.91,6.61,0
26,189.3,152.74,176.6,115.42,12.08,12.18,,11.97,23.35,23.9,94.58,6.61,0
27,150.1,161.62,163.8,112.58,12.08,12.32,,11.98,21.13,19.3,94.85,6.62,0
28,177.6,174.94,185.7,117.1,12.06,12.24,,11.98,22.77,11.1,103.92,6.61,0
29,185.0,150.97,170.3,119.93,11.78,12.28,,11.97,25.79,15.6,93.74,6.61,0
30,172.5,180.52,166.4,111.97,11.89,12.34,,11.97,24.86,10.0,111.55,6.6,0
31,166.8,160.09,154.6,109.9,11.9,12.25,,11.97,24.75,17.1,97.14,6.6,0
32,162.0,174.69,136.2,112.98,11.89,12.29,,11.97,26.48,11.0,104.1,6.6,0
33,137.6,188.97,149.2,110.52,12.05,12.31,,11.97,25.0,8.1,101.86,6.61,0
34,154.0,148.18,169.8,111.88,11.85,12.15,,11.97,30.13,27.7,103.06,6.62,0
35,164.2,150.01,176.1,115.74,12.12,12.33,0.4,11.97,21.93,15.3,99.23,6.41,0
36,144.2,160.79,139.1,110.07,12.1,12.12,0.41,11.97,23.8,21.9,102.79,6.42,0
37,138.0,143.33,166.6,116.71,11.82,12.17,,11.97,22.07,17.2,94.25,6.61,0
38,139.6,147.97,169.2,111.4,12.13,12.33,0.38,11.97,21.65,19.2,98.22,6.42,0
39,175.7,154.49,169.7,112.4,12.11,12.3,0.4,11.97,20.85,12.7,88.22,6.4,0
40,138.8,158.57,163.1,114.48,12.09,12.28,,11.97,23.75,22.5,100.74,6.62,1
41,140.2,165.26,152.1,114.4,12.07,12.22,,11.97,23.44,22.1,94.81,6.61,0
42,158.2,164.59,155.2,112.4,11.93,12.39,,11.97,27.43,15.3,113.99,6.61,0
43,166.3,162.23,142.6,111.53,12.07,12.28,,11.97,23.14,11.8,101.05,6.61,0
44,150.4,149.32,160.3,115.98,12.13,12.17,0.4,11.97,23.17,27.7,96.73,6.41,0
45,153.8,168.23,175.6,116.68,12.08,12.14,,11.97,24.3,24.1,97.11,6.61,0
46,153.7,170.8,142.1,110.57,12.06,12.24,,11.98,23.47,19.3,102.36,6.63,0
47,150.8,157.12,130.6,111.52,12.07,12.31,,11.97,26.28,11.9,96.9,6.61,0
48,167.7,155.14,148.8,109.21,11.92,12.35,,11.97,25.12,10.7,95.3,6.61,0
49,170.8,150.33,144.3,112.7,11.91,12.34,,11.97,20.83,12.8,90.8,6.6,0
50,176.2,151.04,162.6,112.99,12.11,12.34,0.38,11.97,20.04,14.8,86.45,6.42,0
51,145.5,151.68,144.8,111.93,11.92,12.2,,11.97,23.91,14.5,93.93,6.6,0
52,156.3,166.98,178.7,110.58,11.88,12.27,,11.97,24.21,18.6,92.65,6.61,0
53,131.1,132.42,165.8,118.44,12.05,12.31,0.41,11.97,22.23,11.0,101.72,6.4,0
54,167.7,130.63,168.9,117.87,12.12,12.27,0.4,11.97,21.15,14.2,83.88,6.4,0
55,159.7,149.68,158.3,111.23,11.78,12.29,,11.97,24.45,17.8,89.64,6.65,0
56,184.9,166.75,161.3,118.15,12.06,12.21,,11.97,23.3,20.9,105.9,6.62,0
57,162.2,140.16,176.8,110.74,11.86,12.25,,11.97,26.75,12.8,102.36,6.62,0
58,138.4,157.28,158.2,108.68,12.1,12.17,,11.97,22.4,17.0,99.41,6.63,0
59,149.4,173.41,138.2,111.28,12.06,12.18,,11.98,23.5,19.5,102.23,6.62,0
60,181.9,159.47,163.8,110.09,11.83,12.24,,11.97,25.99,15.5,101.11,6.63,0
61,135.5,149.17,150.3,105.89,12.04,12.25,0.41,11.97,23.65,16.9,106.58,6.42,0
62,137.0,159.96,163.5,113.99,11.89,12.26,,11.97,24.46,16.6,91.93,6.61,0
63,183.7,179.79,170.1,116.29,12.07,12.18,,11.97,22.22,14.8,101.97,6.61,0
64,173.1,173.31,133.9,119.84,12.07,12.17,,11.97,23.3,16.1,97.66,6.61,0
65,185.7,151.72,146.8,114.05,12.11,12.36,0.32,11.97,18.81,11.0,80.01,6.4,0
66,161.6,152.99,160.3,114.72,11.9,12.3,,11.97,24.75,12.4,95.73,6.63,0
67,166.5,166.87,153.2,114.47,11.75,12.36,,11.97,25.13,14.4,95.29,6.61,0
68,165.2,161.02,160.4,115.23,11.82,12.43,0.37,11.97,23.48,15.4,94.86,6.61,0
69,183.8,154.14,162.1,115.79,12.05,12.28,0.38,11.97,23.07,21.9,102.98,6.44,0
70,164.1,149.93,172.2,111.26,11.91,12.3,,11.97,25.21,17.1,94.73,6.61,1
71,159.5,137.83,148.1,115.95,12.07,12.23,0.41,11.97,19.81,18.1,93.79,6.43,0
72,181.0,190.79,135.7,115.81,12.07,12.15,,11.97,24.05,23.0,106.03,6.63,0
73,167.1,168.34,148.8,113.51,11.92,12.18,,11.97,26.79,20.8,104.43,6.62,0
74,157.1,160.11,168.4,114.61,11.82,12.16,0.39,11.98,26.16,18.6,101.21,6.61,0
75,137.2,150.12,134.8,107.8,12.04,12.24,0.41,11.97,22.62,10.9,98.81,6.41,0
76,168.9,151.84,173.9,115.24,12.05,12.33,0.41,11.97,23.03,13.1,98.03,6.4,0
77,176.2,158.03,151.6,118.45,11.82,12.21,0.39,11.97,26.13,16.3,99.95,6.61,0
78,190.2,135.3,161.1,111.42,11.71,12.31,,11.97,24.28,8.7,96.25,6.63,0
79,184.9,181.24,158.8,113.27,12.08,12.2,,11.98,25.03,21.2,102.81,6.61,0
80,146.1,156.38,133.3,121.43,11.81,12.29,0.38,11.97,25.67,18.2,98.35,6.63,0
81,132.2,160.42,150.7,110.32,11.85,12.19,0.32,11.97,24.51,37.5,93.99,6.61,0
82,144.9,168.67,159.5,122.8,12.07,12.26,,11.97,22.77,13.3,96.48,6.61,0
83,165.5,174.58,141.7,114.57,12.04,12.28,,11.97,22.39,11.9,99.64,6.61,0
84,160.4,171.15,149.7,111.77,11.97,12.24,,11.97,24.47,14.9,96.66,6.65,0
85,181.9,179.68,156.4,113.92,12.05,12.25,,11.97,25.61,15.6,102.29,6.61,0
86,197.7,143.94,185.7,117.7,11.84,12.28,,11.97,27.17,18.0,107.11,6.62,0
87,163.4,148.37,157.1,108.52,12.09,12.3,0.41,11.97,22.92,16.8,101.2,6.41,0
88,157.1,171.2,164.8,118.03,12.07,12.19,,11.97,22.33,33.0,104.31,6.63,0
89,151.1,180.65,159.0,117.38,12.07,12.21,,11.97,25.71,21.3,111.32,6.63,0
90,133.7,159.67,175.8,113.64,11.81,12.24,0.39,11.97,24.3,18.3,97.02,6.61,0
91,156.4,169.04,168.6,108.74,11.87,12.27,,11.98,24.82,12.0,95.88,6.6,0
92,147.7,171.07,142.8,114.23,11.89,12.3,,11.97,26.5,10.7,103.28,6.63,0
93,176.7,145.09,140.8,109.85,12.1,12.37,0.41,11.97,22.2,13.5,93.28,6.41,0
94,167.1,162.13,172.7,118.08,12.08,12.34,,11.97,24.22,16.2,104.1,6.63,0
95,156.0,166.49,164.2,114.76,12.07,12.23,,11.97,22.15,15.5,96.87,6.62,0
96,158.4,143.42,133.8,115.97,11.85,12.24,,11.97,24.29,18.6,101.11,6.61,0
97,132.2,156.99,127.9,122.26,12.02,12.2,0.41,11.97,24.91,11.7,100.03,6.41,0
98,162.3,177.67,195.7,111.42,11.89,12.19,,11.98,25.36,10.6,101.69,6.61,0
99,151.4,163.41,152.3,114.0,11.9,12.27,,11.97,24.5,29.8,101.73,6.6,0
100,172.0,150.37,156.3,111.09,12.05,12.17,0.41,11.97,19.22,21.2,96.42,6.41,0
101,137.6,151.91,162.0,118.19,11.8,12.36,,11.97,25.18,12.0,95.4,6.61,0
102,135.7,161.03,169.8,116.92,12.08,12.3,,11.97,24.37,9.8,97.43,6.63,0
103,157.8,178.1,144.3,113.66,11.89,12.3,,11.97,27.04,30.2,100.45,6.61,0
104,149.3,154.0,197.5,123.92,12.1,12.25,,11.97,25.2,14.2,97.76,6.57,0
